machine,alpha,seed,steps,score_sha256,final_model_sha256,runtime_seconds,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,record_path,trace_path,AUROC,AUPRC,hard_candidate_count,hard_candidate_anomalous,hard_candidate_contamination,hard_candidate_repeated_anomalous_exposures,hard_committed_count,hard_committed_anomalous,hard_committed_contamination,hard_committed_repeated_anomalous_exposures,hard_gradient_exposure_count,hard_gradient_exposure_anomalous,hard_gradient_exposure_contamination,hard_gradient_exposure_repeated_anomalous_exposures,hard_pending_count,hard_pending_anomalous,hard_pending_contamination,hard_pending_repeated_anomalous_exposures,hard_update_count,hard_optimizer_steps,hard_committed_minus_candidate,hard_material_delta_1pp,hard_commit_latency_mean_windows,hard_commit_latency_median_windows,hard_commit_latency_p95_windows,hard_commit_latency_maximum_windows,moderate_candidate_count,moderate_candidate_anomalous,moderate_candidate_contamination,moderate_candidate_repeated_anomalous_exposures,moderate_committed_count,moderate_committed_anomalous,moderate_committed_contamination,moderate_committed_repeated_anomalous_exposures,moderate_gradient_exposure_count,moderate_gradient_exposure_anomalous,moderate_gradient_exposure_contamination,moderate_gradient_exposure_repeated_anomalous_exposures,moderate_pending_count,moderate_pending_anomalous,moderate_pending_contamination,moderate_pending_repeated_anomalous_exposures,moderate_update_count,moderate_optimizer_steps,moderate_committed_minus_candidate,moderate_material_delta_1pp,moderate_commit_latency_mean_windows,moderate_commit_latency_median_windows,moderate_commit_latency_p95_windows,moderate_commit_latency_maximum_windows,all_candidate_count,all_candidate_anomalous,all_candidate_contamination,all_candidate_repeated_anomalous_exposures,all_committed_count,all_committed_anomalous,all_committed_contamination,all_committed_repeated_anomalous_exposures,all_gradient_exposure_count,all_gradient_exposure_anomalous,all_gradient_exposure_contamination,all_gradient_exposure_repeated_anomalous_exposures,all_pending_count,all_pending_anomalous,all_pending_contamination,all_pending_repeated_anomalous_exposures,all_update_count,all_optimizer_steps,all_committed_minus_candidate,all_material_delta_1pp,all_commit_latency_mean_windows,all_commit_latency_median_windows,all_commit_latency_p95_windows,all_commit_latency_maximum_windows
SMD_1-8,0.5,0,1,b3965838d1d5ea45adef8573a3c71983f0c3166430a94a00f52c3cc0d2a4d2b2,239cae4cd17fc5f91e3d6d2d751c2e609a4f7df6cc79c1d34b0c32572af1e903,14.213083931710571,2709062656,3581935616,reports/phase_c_v2/runs/SMD_1-8_alpha_0.5_seed_0_native_replay_1.json,reports/phase_c_v2/logs/SMD_1-8_alpha_0.5_seed_0_native_replay_1.audit_events.json,0.8524040856820481,0.4383890500687414,5,5,1.0,0,0,0,,0,0,0,,0,5,5,1.0,0,0,0,,,,,,,11315,447,0.03950508174988953,0,11314,447,0.03950857344882446,0,11314,447,0.03950857344882446,0,1,0,0.0,0,80,80,3.4916989349320637e-06,False,129.19188615874137,129.0,243.0,510,11320,452,0.03992932862190813,0,11314,447,0.03950857344882446,0,11314,447,0.03950857344882446,0,6,5,0.8333333333333334,0,80,80,-0.0004207551730836673,False,129.19188615874137,129.0,243.0,510
SMD_1-8,0.5,1,1,b7a9e6a3d9202447889d5b4bb81ae4339f96ee24c3b3a46639d4aa18be85c2ee,97306504442507e092a2b7fcd73976426c3f938309aecd7cfe3281962cf90691,14.49118040734902,2709062656,3581935616,reports/phase_c3/runs/SMD_1-8_alpha_0.5_seed_1_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_0.5_seed_1_native_c3.audit_events.json,0.8635090425497942,0.4506334573315136,6,6,1.0,0,0,0,,0,0,0,,0,6,6,1.0,0,0,0,,,,,,,11810,446,0.037764606265876376,0,11810,446,0.037764606265876376,0,11810,446,0.037764606265876376,0,0,0,,0,78,78,0.0,False,129.4701100762066,128.0,243.0,509,11816,452,0.03825321597833446,0,11810,446,0.037764606265876376,0,11810,446,0.037764606265876376,0,6,6,1.0,0,78,78,-0.0004886097124580865,False,129.4701100762066,128.0,243.0,509
SMD_1-8,0.5,2,1,8a3916ff1864b8d0a7e8e2e4a4ea06b4ce1ba0eafe4abb2ce788c8b36d9f926f,ee570ec9c585fef6a3d448723af1d6103acf825646a6e8506c94c6ac3dc09aae,14.676231576129794,2709062656,3581935616,reports/phase_c3/runs/SMD_1-8_alpha_0.5_seed_2_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_0.5_seed_2_native_c3.audit_events.json,0.8608402138121206,0.4512834253453913,6,6,1.0,0,0,0,,0,0,0,,0,6,6,1.0,0,0,0,,,,,,,12201,464,0.03802966969920498,0,12195,464,0.038048380483804836,0,12195,464,0.038048380483804836,0,6,0,0.0,0,82,82,1.871078459985548e-05,False,128.66961869618697,128.0,243.0,510,12207,470,0.03850249856639633,0,12195,464,0.038048380483804836,0,12195,464,0.038048380483804836,0,12,6,0.5,0,82,82,-0.00045411808259149256,False,128.66961869618697,128.0,243.0,510
SMD_1-8,0.5,3,1,97da50ddf893c7b1a2c00aa251b59c6b2bf0bea97a46612c2e9204d1aa25f3d9,88171ea6509e1bd2dd19fba203c1403732c51b3bf79af1f24b808b2bd5637c25,14.514555213972926,2709062656,3581935616,reports/phase_c3/runs/SMD_1-8_alpha_0.5_seed_3_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_0.5_seed_3_native_c3.audit_events.json,0.8575090903810233,0.4458597868672439,6,6,1.0,0,0,0,,0,0,0,,0,6,6,1.0,0,0,0,,,,,,,11478,447,0.038944066910611606,0,11478,447,0.038944066910611606,0,11478,447,0.038944066910611606,0,0,0,,0,79,79,0.0,False,129.30615089736887,129.0,242.0,501,11484,453,0.03944618599791014,0,11478,447,0.038944066910611606,0,11478,447,0.038944066910611606,0,6,6,1.0,0,79,79,-0.0005021190872985318,False,129.30615089736887,129.0,242.0,501
SMD_1-8,0.5,4,1,3732af3739ec317ab9a19ec52a26e018cc1447991a493ef7dad0483774cd8394,b90f4fdd6cf6ff819e95ccdbc7f7c226779a0770caed51bac5dea1d847c4233b,14.242236497811973,2709062656,3581935616,reports/phase_c3/runs/SMD_1-8_alpha_0.5_seed_4_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_0.5_seed_4_native_c3.audit_events.json,0.8623194621681318,0.45039979418896947,5,5,1.0,0,0,0,,0,0,0,,0,5,5,1.0,0,0,0,,,,,,,11239,447,0.039772221727911734,0,11239,447,0.039772221727911734,0,11239,447,0.039772221727911734,0,0,0,,0,78,78,0.0,False,128.94946169588042,128.0,243.0,956,11244,452,0.04019921736036997,0,11239,447,0.039772221727911734,0,11239,447,0.039772221727911734,0,5,5,1.0,0,78,78,-0.000426995632458238,False,128.94946169588042,128.0,243.0,956
SMD_1-8,1.0,0,1,01f0404424c665ac952021145f619c06d7e26e434e2a72d0c832ae228ebd1aec,e508ab9540a9bbe60e955deaf06411e6e0ba6a97d54e8614000de45bb263c206,14.570386303123087,2709062656,3581935616,reports/phase_c3/runs/SMD_1-8_alpha_1.0_seed_0_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_1.0_seed_0_native_c3.audit_events.json,0.8532123914957194,0.4389382704451123,16,16,1.0,0,16,16,1.0,0,16,16,1.0,0,0,0,,0,1,1,0.0,False,17171.8125,18724.5,18988.25,18989,11398,442,0.03877873311107212,0,11397,442,0.03878213564973239,0,11397,442,0.03878213564973239,0,1,0,0.0,0,80,80,3.402538660268739e-06,False,129.21847854698606,129.0,243.0,510,11414,458,0.04012616085509024,0,11413,458,0.040129676684482606,0,11413,458,0.040129676684482606,0,1,0,0.0,0,81,81,3.5158293923628903e-06,False,153.11066327871725,129.0,243.0,18989
SMD_1-8,1.0,1,1,30518c4fc3b93bb97c502d24ca1a66694a59a40f0c243d82416d2c6a787be608,63f48e8c8853194569730d0542e47292ffdfc6a6a9882a2f8322a5d690d21bee,14.560912870801985,2709062656,3581935616,reports/phase_c3/runs/SMD_1-8_alpha_1.0_seed_1_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_1.0_seed_1_native_c3.audit_events.json,0.8638591988474258,0.450992024906325,18,18,1.0,0,16,16,1.0,0,16,16,1.0,0,2,2,1.0,0,1,1,0.0,False,2120.0625,2852.5,3117.5,3119,11868,444,0.03741152679474216,0,11868,444,0.03741152679474216,0,11868,444,0.03741152679474216,0,0,0,,0,78,78,0.0,False,129.64509605662286,128.0,243.0,509,11886,462,0.038869257950530034,0,11884,460,0.03870750589027264,0,11884,460,0.03870750589027264,0,2,2,1.0,0,79,79,-0.0001617520602573974,False,132.32489060922248,129.0,243.0,3119
SMD_1-8,1.0,2,1,c512ab03faba6203502c1e8920b2bc34f1b832b09b5df5a5b03348f4c70683fa,af8011785e48eec73de299268f9152599e411bd7ab6b0e32dac76b83851ebb8a,14.724075131118298,2709062656,3581935616,reports/phase_c3/runs/SMD_1-8_alpha_1.0_seed_2_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_1.0_seed_2_native_c3.audit_events.json,0.8631420334360804,0.4536768393797129,17,17,1.0,0,16,16,1.0,0,16,16,1.0,0,1,1,1.0,0,1,1,0.0,False,2120.0625,2852.5,3117.5,3119,12047,453,0.037602722669544286,0,12042,453,0.03761833582461385,0,12042,453,0.03761833582461385,0,5,0,0.0,0,83,83,1.5613155069565954e-05,False,128.6310413552566,129.0,243.0,510,12064,470,0.03895888594164456,0,12058,469,0.03889533919389617,0,12058,469,0.03889533919389617,0,6,1,0.16666666666666666,0,84,84,-6.354674774838864e-05,False,131.27351136175153,129.0,243.0,3119
SMD_1-8,1.0,3,1,9ff2c0da7ce3340850f220512dce23a64d0fe704b4decbfa0e5287098643d121,00159a8080e6f982a5bee9ef1b78d58666ae7da5b0eb5b00008b677c3940cb16,14.207492696586996,2709062656,3581935616,reports/phase_c3/runs/SMD_1-8_alpha_1.0_seed_3_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_1.0_seed_3_native_c3.audit_events.json,0.8577618126935598,0.4458631559506347,14,14,1.0,0,0,0,,0,0,0,,0,14,14,1.0,0,0,0,,,,,,,11440,442,0.038636363636363635,0,11440,442,0.038636363636363635,0,11440,442,0.038636363636363635,0,0,0,,0,79,79,0.0,False,129.28636363636363,129.0,242.0,501,11454,456,0.03981141959140912,0,11440,442,0.038636363636363635,0,11440,442,0.038636363636363635,0,14,14,1.0,0,79,79,-0.0011750559550454814,False,129.28636363636363,129.0,242.0,501
SMD_1-8,1.0,4,1,e03b2f1fef64bb67e71f5cd24149f9c7c06911a3f89b8b9814ef427d3eb20cfa,8c2970aa12678cfb4dc487336a10d56f48bebc3acce92ef79b376d97b6b4ce57,14.573447813745588,2709062656,3584032768,reports/phase_c3/runs/SMD_1-8_alpha_1.0_seed_4_native_c3.json,reports/phase_c3/logs/SMD_1-8_alpha_1.0_seed_4_native_c3.audit_events.json,0.8634382280888566,0.45205232604787143,16,16,1.0,0,16,16,1.0,0,16,16,1.0,0,0,0,,0,1,1,0.0,False,17262.0,18725.5,18989.5,18991,11274,442,0.03920525102004612,0,11274,442,0.03920525102004612,0,11274,442,0.03920525102004612,0,0,0,,0,79,79,0.0,False,128.94474010998758,129.0,243.0,956,11290,458,0.040566873339238266,0,11290,458,0.040566873339238266,0,11290,458,0.040566873339238266,0,0,0,,0,80,80,0.0,False,153.22542072630645,129.0,243.0,18991
