stage,architecture,detector_seed,arm,fit_role,C,validation_AP,test_AP,n_iter,convergence_warning,hit_max_iter,converged,coef_sha256,intercept_sha256
s1,xlstm,11,H+O1r,validation_candidate,0.01,0.9114001665609954,,521,False,False,True,7706d484e0de1098c5312dc63e4fadbe7f4c166e31d5eefb8254e9e3b86e9439,e577ccd1fdc978d0662cf199dee6ac3df87cb6d4e895432d5ef982ef1249e578
s1,xlstm,11,H+O1r,validation_candidate,0.1,0.9153156548563615,,1316,False,False,True,aaf9248c62dcf92a1e6f676098f706825f7ec4fe2b2b3942ca6880289e8013c4,9e7c807ef653eca47fb285b516ead1ac890be6a5c00c0f871d81e24f520cd213
s1,xlstm,11,H+O1r,validation_candidate,1.0,0.9179570032794464,,2377,False,False,True,9b77af389bed5410a1eb2dcad2bd825fa370db1a5c0e14907355c12e751d09a1,a3317cf8f469ec3079030bd7ea813a20552ed97c910596d94be05be82e3eaca1
s1,xlstm,11,H+O1r,validation_candidate,10.0,0.9173791603693684,,3266,False,False,True,46683c1a0f917a9d786ec756df222137a139216014819dfd7bac1af868438e75,1e1693d495d3544e333103bbd4b96e42364092d95f32456f33a1260e2e789b22
s1,xlstm,11,H+O1r,selected_final,1.0,0.9179570032794464,0.9066215152751446,2377,False,False,True,9b77af389bed5410a1eb2dcad2bd825fa370db1a5c0e14907355c12e751d09a1,a3317cf8f469ec3079030bd7ea813a20552ed97c910596d94be05be82e3eaca1
s1,xlstm,11,H+O1r+I,validation_candidate,0.01,0.9432686684615038,,416,False,False,True,5f702cb087c90f5634fb61a69f5498d13d42b68d319b4325390c9e464261d4bf,f4249c775aa0e0719dc9c64b59619b60c0f1403787b5486610df1495ed0993a2
s1,xlstm,11,H+O1r+I,validation_candidate,0.1,0.9423249233109093,,915,False,False,True,fa86d4c77892d2926e1e355e482954fef0e64215b0d836751e24dfb673463c33,bf4cd8401cf0bac88146fa7afff5f488ab2c9cbdeda63de7173d21ca621394fd
s1,xlstm,11,H+O1r+I,validation_candidate,1.0,0.9410346773889939,,1879,False,False,True,a7649a5ac527bd67bc6ccb7f3912200025b67542b466bd0c1076cadcd30b5305,56fecef591e6b3cef7b92841d9f78d2fd68b06087abae13a9a5d2d16bfdd3e8c
s1,xlstm,11,H+O1r+I,validation_candidate,10.0,0.9404480561376125,,2466,False,False,True,1f88bc1407633bfe2e337b2b411a95cc1c7fad9a8930fbe9fbc97a444d239036,970eac4d6359fcd40a2815bbc4513e6db14234da9a9aaf54cdbf2c1003459518
s1,xlstm,11,H+O1r+I,selected_final,0.01,0.9432686684615038,0.9347498354884489,416,False,False,True,5f702cb087c90f5634fb61a69f5498d13d42b68d319b4325390c9e464261d4bf,f4249c775aa0e0719dc9c64b59619b60c0f1403787b5486610df1495ed0993a2
s1,xlstm,22,H+O1r,validation_candidate,0.01,0.9057190525725729,,533,False,False,True,65f0f8ed698139f6eeca25b5715b7d4ab33f31908592b4dd83957f38e26871fc,dbe5c5997520d30efbc6f70675cf49db56a280ac7d4c028f5010030230d77b36
s1,xlstm,22,H+O1r,validation_candidate,0.1,0.9098105582088429,,1213,False,False,True,66af8f1c52fcc67d47057d35941e9139ddc7c3fd7595e946e7ba929cbf240397,e2f449b1635fada41c97dd2f791cda23235ea603e50d5ac4941b4b4c3e17e8e2
s1,xlstm,22,H+O1r,validation_candidate,1.0,0.9141088458109194,,2108,False,False,True,f3b59d0c081355eade69a36ea434af8511837be6d98cd73759cc6b85a017ea32,436df4bebf510d324bf56aebfa7d5734d3c609e87523c129ca4c58de7c65e2e6
s1,xlstm,22,H+O1r,validation_candidate,10.0,0.9148062319141823,,3095,False,False,True,7091b456acf2edf2c01a3ec3f74c1d75a90854a7bc27f3361c8bcfc47c458214,d63b6cb9d6c7fe5dafe89482238f31a8cbe6539e0ec8d5959942e090b8fa115e
s1,xlstm,22,H+O1r,selected_final,10.0,0.9148062319141823,0.9164236331165136,3095,False,False,True,7091b456acf2edf2c01a3ec3f74c1d75a90854a7bc27f3361c8bcfc47c458214,d63b6cb9d6c7fe5dafe89482238f31a8cbe6539e0ec8d5959942e090b8fa115e
s1,xlstm,22,H+O1r+I,validation_candidate,0.01,0.935063979167335,,448,False,False,True,0f6cb54ba5ddef48b8bcb9360204cd7b90334c260afdcc8c56b8ba19bde9dae5,4fd0d9ae65e5cc0d6864df95e32579f3f9fe6dca9a124db827216e72a4fb24bb
s1,xlstm,22,H+O1r+I,validation_candidate,0.1,0.9345734784991393,,991,False,False,True,17f10131100b33a220e572b31c25ab3ce177e4f90d3131467077eb133c1f0e82,fc0dbe1610ce6b363765677890517695a8b76fbfb8cea716483c3736a8ece895
s1,xlstm,22,H+O1r+I,validation_candidate,1.0,0.9347306246343398,,1954,False,False,True,9de01af58a3aee8e75be8ea42195bc8a76add1e3a963b22d93f944f55e93ffbf,2fdc013ba1c997d054490a30aa62df64af8b25cfdc0c64e7922c8215873c457c
s1,xlstm,22,H+O1r+I,validation_candidate,10.0,0.9345578690094937,,2245,False,False,True,6a13aba4ac55a71ce1ca2dfb97677839c1e8b60a9f7aa03d1da74c004598c616,54fa9e93c9fe3120ccd7e397346e9586f5a51695ef733149fb56065e41344429
s1,xlstm,22,H+O1r+I,selected_final,0.01,0.935063979167335,0.932093726993865,448,False,False,True,0f6cb54ba5ddef48b8bcb9360204cd7b90334c260afdcc8c56b8ba19bde9dae5,4fd0d9ae65e5cc0d6864df95e32579f3f9fe6dca9a124db827216e72a4fb24bb
s1,xlstm,33,H+O1r,validation_candidate,0.01,0.9079801314599744,,443,False,False,True,0893cb87bbf8924cd38c4a65773e01c684dad0a7a5a7b5786b5a789c0cc221f6,647ea7f8b6b5ce6b1baa9dfe9a1b0c1667f98a3fe96eabc978cb72a81a33e4de
s1,xlstm,33,H+O1r,validation_candidate,0.1,0.9084859451264502,,1126,False,False,True,fc1097c3c65ba29c24bfad0adaaf0e717ef7bf12518d34288ef2ee4a1b56f866,d1421f8b0bf9d3b9314f24b1a64e25c441b78935e0680cf5eac0ca52d24e7a47
s1,xlstm,33,H+O1r,validation_candidate,1.0,0.9093596208609649,,2039,False,False,True,e74716674de38d0f533ef7e2642bf01e5542ec0c1f0d805639ef19aabb259e33,6d789adf7831b908ae240e89df6caa27b883d140a3446ddbd5d10e4697507a97
